,날짜,신문사,제목,분야
0,2024.04.02. 오후 10:53,매일경제,“태양광 패널 너무 싸서 칸막이로 쓴다”...중국산 공세에 발끈한 유럽,경제
1,2024.04.02. 오후 10:49,한국경제,"테슬라, 1분기에 38만6810대 인도로 예상 하회…주가 급락",경제
2,2024.04.02. 오후 10:44,매일경제,“사장님 이제 숨통 좀 트이겠어요”...7월부터 ‘이것’ 가능해진다는데,경제
3,2024.04.02. 오후 10:37,매일경제,사과 비싸니 바나나 먹으라고?...현금 살포 한달 더 하겠다는 정부,경제
4,2024.04.02. 오후 10:27,한겨레,1500억 풀어도 사과·배 88%↑…윤 대통령 “자금 무제한 투입”,경제
5,2024.04.02. 오후 10:09,매일경제,“애플이 부르면 죽음의 키스”...핵심인재 빼가고 소송 남발하는 ‘갑질 황제’,경제
6,2024.04.02. 오후 10:06,파이낸셜뉴스,"한 총리 ""윤 대통령-전공의 대화 위한 접촉 있어…尹 대화 의지 강해”[종합]",경제
7,2024.04.02. 오후 9:53,한국경제TV,"독일 BMW, 인도 타타테크와 자동차 소프트웨어 공동 개발",경제
8,2024.04.02. 오후 9:52,한국경제TV,"CFRA, 도어대시 보류→매수 상향…""성장 궤적 가속화""",경제
9,2024.04.02. 오후 9:52,한국경제TV,"씨티, 일라이릴리 목표가 895달러…18% 상승 가능",경제
10,2024.04.02. 오후 9:49,매일경제,지분장악 나선 ‘한미약품 형제’ 사모펀드 KKR 손잡는다,경제
11,2024.04.02. 오후 9:48,파이낸셜뉴스,"한덕수 총리 ""대통령-전공의, 대화 위한 접촉 있어""",경제
12,2024.04.02. 오후 9:42,TV조선,"[따져보니] 올릴땐 언제고…불붙은 '0원' 배달, 왜?",경제
13,2024.04.02. 오후 9:39,TV조선,강원사과로 '金사과' 막는다…강원도에 재배지 대규모 조성,경제
14,2024.04.02. 오후 9:38,TV조선,"푸바오, 3일 중국행…마지막 '이송 준비' 모습 공개",경제
15,2024.04.02. 오후 9:31,경향신문,화면 확 커져 운동하며 데이터 체크 ‘딱’…‘갤럭시 핏3’ 국내 첫선,경제
16,2024.04.02. 오후 9:31,경향신문,국내 제조업계 해외 신뢰도 ‘굳건’…1분기 외국인 직접투자 99% 증가,경제
17,2024.04.02. 오후 9:31,경향신문,지배구조 우수기업 ‘지정 감사’ 면제 추진,경제
18,2024.04.02. 오후 9:31,한국경제,"""스마트시티는 데이터가 핵심…건물 설계부터 스마트플랫폼 고려해야""",경제
19,2024.04.02. 오후 9:28,한국경제TV,"BofA, 페덱스 목표가 340달러로 하향",경제
20,2024.04.02. 오후 9:28,TV조선,"[단독] 양부남측, '뉴타운 호재' 직후에 한남동 주택 구입…""투자자 몰려들던 때""",경제
21,2024.04.02. 오후 9:28,경향신문,"롯데백화점, 반찬 전문매장 ‘맛있는 찬’ 선보여[포토뉴스]",경제
22,2024.04.02. 오후 9:28,경향신문,"소비 위축에 실적 ‘찬바람’, 유통가 구조조정 ‘칼바람’",경제
23,2024.04.02. 오후 9:28,경향신문,"최고액 수령자 연봉, 직원 평균의 24배…카카오는 ‘98배’",경제
24,2024.04.02. 오후 9:28,경향신문,"LH, 청년·신혼부부 등 매입임대주택 공급",경제
25,2024.04.02. 오후 9:28,경향신문,"포스코그룹, 장인화 회장 첫 조직개편…여성 임원 ‘중용’",경제
26,2024.04.02. 오후 9:27,경향신문,LG엔솔·GM 합작 ‘얼티엄셀즈’ 제2공장 가동…첫 배터리 셀 출하,경제
27,2024.04.02. 오후 9:27,경향신문,"천차만별 공시가, 공평과세 흔든다",경제
28,2024.04.02. 오후 9:25,한국경제,"현대차그룹, '졸지에' KT 최대주주 되나…일각선 지분매각 전망",경제
29,2024.04.02. 오후 9:24,한국경제,"블룸버그 ""美 ,한국 칩 제조장비 및 기술 대중수출 제한 원해""",경제
30,2024.04.02. 오후 9:18,조선비즈,[부음] 김지용(前 문화일보 부국장)씨 별세,경제
31,2024.04.02. 오후 9:08,매일경제,"신입 연봉이 6500만원...의사가 비하한 이 직업, 대학 안 나와도 이만큼 번다",사회
32,2024.04.02. 오후 9:05,이데일리,"SK C&C;, CJ대한통운 클라우드 기반 택배 체계 구축",IT
33,2024.04.02. 오후 9:01,조선비즈,"한-칠레, 산티아고서 FTA 개선 협상 착수",경제
34,2024.04.02. 오후 9:01,이데일리,제9차 한·칠레 FTA 개선 협상…에너지·광물 등 협력 논의,경제
35,2024.04.02. 오후 8:58,경향신문,"금감원, ‘양문석 편법대출 의혹’ 새마을금고에 “검사 인력 파견”",경제
36,2024.04.02. 오후 8:53,중앙일보,"비트코인 5%대 급락, 6만6000달러도 붕괴… 조기 금리인하 난망",경제
37,2024.04.02. 오후 8:50,경향신문,사과 계약재배 물량 3배 늘려…15만톤 중 5만톤은 정부가 직접 관리,경제
