,Unnamed: 0,날짜,신문사,제목,분야
0,0,2024.10.02. 오후 11:18,이데일리,권남훈 신임 산업연구원장 취임…“신성장 잠재력 발굴”,경제
1,1,2024.10.02. 오후 11:15,한국경제,"美 증시, 중동 긴장 고조 속 이틀째 하락 출발",경제
2,2,2024.10.02. 오후 10:56,이데일리,中·日 큰손들 韓 투자 늘렸다…1~3분기 외국인직접투자 ‘역대최대’,경제
3,3,2024.10.02. 오후 10:34,한국경제,"""美증시, 지정학 사건 때도 경기 침체 여부에 더 좌우""",경제
4,4,2024.10.02. 오후 10:33,매일경제,MG손해보험 수의계약 입찰에 메리츠화재·데일리파트너스 2곳 참여,경제
5,5,2024.10.02. 오후 10:32,조선비즈,"증선위, ‘회계처리 기준 위반’ 3개社 감사인지정 의결",경제
6,6,2024.10.02. 오후 10:30,한겨레,LG그룹 맏딸 ‘자본시장법 위반’ 혐의 검찰 통보키로,경제
7,7,2024.10.02. 오후 10:19,이데일리,"브라질 수출제품 현지인증 국내서…KTR, 현지 인증기관 업무협약",경제
8,8,2024.10.02. 오후 10:05,매일경제,“이 은행은 잊을만 하면”…이번엔 55억 금융사고 터졌다,경제
9,9,2024.10.02. 오후 10:02,한국경제,美 신규 일자리 늘더니…9월 예상치 넘어섰다,경제
10,10,2024.10.02. 오후 9:57,한경비즈니스,"한화큐셀, 美 142MW 규모 태양광 사업권 매각",경제
11,11,2024.10.02. 오후 9:51,매일경제,"“규제 약발도 안먹히네”…여전히 불안한 주담대, 한 달 새 6조 늘었다는데",경제
12,12,2024.10.02. 오후 9:50,한경비즈니스,"삼성重, 6783억원 규모 LNG 운반선 2척 수주",경제
13,13,2024.10.02. 오후 9:35,TV조선,"""카카오T, 경쟁사 기사에 콜 차단""…과징금 720억 '철퇴'",경제
14,14,2024.10.02. 오후 9:32,한국경제,"이스라엘, 이란 석유시설 공격할까?…유가 이틀째 급등",경제
15,15,2024.10.02. 오후 9:31,한경비즈니스,"""팝업스토어에 웬 주차장?"" 패션 브랜드 '할리데이비슨' 팝업 가보니[현장]",경제
16,16,2024.10.02. 오후 9:29,한경비즈니스,"SK온, 유상증자로 1조 수혈",경제
17,17,2024.10.02. 오후 9:22,TV조선,취약계층 빚 최대 500만원까지 탕감…도덕적 해이 논란도,경제
18,18,2024.10.02. 오후 9:21,TV조선,"물가, 3년 6개월 만에 1%대…채솟값은 여전히 고공행진",경제
19,19,2024.10.02. 오후 9:08,파이낸셜뉴스,"SK온 1조원 유상증자… ""재무구조 개선""",경제
20,20,2024.10.02. 오후 8:49,이데일리,"한미사이언스, 法에 한미약품 임시주총 허가 신청…한미약품 ""절차적 정당성 문제""",경제
21,21,2024.10.02. 오후 8:48,중앙일보,"금융당국, LG家 구연경 ‘미공개 정보 이용’ 검찰 통보",경제
22,22,2024.10.02. 오후 8:39,이데일리,"창립 51주년 맞은 한미약품…박재현 대표 ""정도 경영 최선 다해야""",경제
23,23,2024.10.02. 오후 8:31,동아일보,"‘노인복지 협력’ 새로운 지평… 스웨덴무역투자대표부, ‘한-스웨덴 에이지웰 포럼’ 성료",경제
24,24,2024.10.02. 오후 8:27,경향신문,‘할리데이비슨’의 120년 바이크 문화를 입다[포토뉴스],경제
25,25,2024.10.02. 오후 8:26,이데일리,[인사]금융위원회,경제
26,26,2024.10.02. 오후 8:25,매일경제,"'부정거래 의혹' LG家 장녀 금융당국, 檢에 통보 조치",경제
27,27,2024.10.02. 오후 8:24,경향신문,카카오모빌리티 724억원 과징금 ‘철퇴’,경제
28,28,2024.10.02. 오후 8:24,경향신문,‘승부수’ 띄운 고려아연…주당 83만원에 공개매수,경제
29,29,2024.10.02. 오후 8:24,경향신문,"금융당국, ‘미공개 정보 이용해 주식 취득 혐의’ LG 장녀 구연경 검찰 통보",경제
